,artist,title
1,Michael Cera & Ellen Page,Anyone Else But You
28,Britney Spears,Break The Ice
53,Kanye West,Stronger
58,Ashley Tisdale,He Said She Said
197,Juanes,Me Enamora
276,Gary Allan,Man To Man
393,Justin Timberlake,What Goes Around...Comes Around
439,Metro Station,Shake It
462,Cascada,What Hurts The Most
505,Miley Cyrus,See You Again
526,Big & Rich,Lost In This Moment
559,Puddle Of Mudd,Psycho
610,Backstreet Boys,Inconsolable
626,Keyshia Cole,Heaven Sent
633,Alicia Keys,Teenage Love Affair
670,Spice Girls,Headlines (Friendship Never Ends)
679,Jonas Brothers,S.O.S.
698,Rihanna,Rehab
711,Trace Adkins,You're Gonna Miss This
823,David Cassidy,Rock Me Baby
882,Natasha Bedingfield,Soulmate
911,Lifehouse,Broken
1013,Jonas Brothers,Hold On
1048,Phil Vassar,Love Is A Beautiful Thing
1105,Jason Aldean,Laughed Until We Cried
1127,Carrie Underwood,So Small
1206,Madcon,Beggin'
1217,Hannah Montana,Life's What You Make It
1275,Maroon 5,Wake Up Call
1296,Katharine McPhee,Over It
1304,J. Holiday,Bed
1340,Kanye West,Can't Tell Me Nothing
1380,Jordin Sparks,One Step At A Time
1387,Hilary Duff,Stranger
1398,Lifehouse,First Time
1547,The-Dream,Shawty Is A 10
1551,Sara Bareilles,Love Song
1571,Avril Lavigne,Hot
1675,Jordin Sparks,Tattoo
1692,J. Holiday,Suffocate
1707,Jordin Sparks,This Is My Now
1834,Miranda Lambert,Famous In A Small Town
1868,Kelly Clarkson,Never Again
1920,Black Box,Strike It Up
1955,The 2 Live Crew,Me So Horny
1975,Seether,Fake It
1988,Foo Fighters,Long Road To Ruin
2094,Sean Kingston,Beautiful Girls
2181,Rihanna,Don't Stop The Music
2316,Sean Kingston,Me Love
2320,Keyshia Cole,I Remember
2357,Lloyd,Get It Shawty
2388,Eddie Money,I'll Get By
2480,Metro Station,Seventeen Forever
2484,Maroon 5,Won't Go Home Without You
2485,Ne-Yo,Because Of You
2525,Britney Spears,Gimme More
2627,Secondhand Serenade,Vulnerable
2656,Jason Aldean,Johnny Cash
2682,Ne-Yo,Go On Girl
2752,Hannah Montana,Make Some Noise
2757,Clay Davidson,Unconditional
2813,Britney Spears,Piece Of Me
2817,Miley Cyrus,Start All Over
2837,Jonas Brothers,When You Look Me In The Eyes
2861,Kirk Franklin,Looking For You
2898,Hilary Duff,With Love
2922,Sean Kingston,Take You There
2992,Alicia Keys,Like You'll Never See Me Again
3036,The Friends Of Distinction,Let Yourself Go
3135,The-Dream,I Luv Your Girl
3176,Nine Inch Nails,Survivalism
3289,Tracy Byrd,Just Let Me Be In Love
3404,Norah Jones,Thinking About You
3535,Emerson Drive,I Should Be Sleeping
3587,Aly & AJ,Like Whoa
3669,Colbie Caillat,Dreams Collide
3763,Maroon 5,Makes Me Wonder
3779,Colbie Caillat,Bubbly
3795,Kid Rock,All Summer Long
3825,Bruce Springsteen,Girls In Their Summer Clothes
3886,Snow Patrol,Signal Fire
3930,Avril Lavigne,When You're Gone
3935,Swizz Beatz,Money In The Bank
3947,Alicia Keys,No One
4008,Foo Fighters,The Pretender
4020,Hannah Montana,True Friend
4088,Avril Lavigne,Girlfriend
4122,Joe,If I Was Your Man
4208,Emerson Drive,Fall Into Me
4263,Hannah Montana,Nobody's Perfect
4286,50 Cent,I Get Money
4404,Britney Spears,Radar
4574,Soulja Boy Tell'em,Crank That (Soulja Boy)
4654,Jamie O'Neal,There Is No Arizona
4655,Carrie Underwood,Just A Dream
4737,Leona Lewis,I Will Be
4913,Nelly,Wadsyaname
4981,Jack Johnson,If I Had Eyes
5080,Kate Voegele,Kindly Unspoken
5082,Modest Mouse,Dashboard
5169,Alicia Keys,Superwoman
5171,Lifehouse,Whatever It Takes
5185,Leona Lewis,Bleeding Love
5196,Jamie O'Neal,When I Think About Angels
5234,Colbie Caillat,Mistletoe
5254,Aly & AJ,Potential Breakup Song
5271,The Last Goodnight,Pictures Of You
5275,Miranda Lambert,More Like Her
5391,Brad Paisley,I'm Still A Guy
5537,The Elgins,It's Been A Long Long Time
5705,Gary Allan,Learning How To Bend
5794,The White Stripes,Icky Thump
5825,50 Cent,Straight To The Bank
